"","x"
"1088","MNT"
"1089","ZXDC"
"1090","JMJD6"
"1091","POLB"
"1092","ST6GALNAC1"
"1093","WIPI1"
"1094","FRMPD1"
"1095","GBA2"
"1096","NDST1"
"1097","ASNS"
"1098","AP3M2"
"1099","CNGB1"
"1100","ST6GALNAC2"
"1101","CHAT"
"1102","PABPC1"
"1103","TESK2"
"1104","CFAP20"
"1105","CSNK2A2"
"1106","PTPN21"
"1107","EIF2B3"
"1108","CAMK2A"
"1109","TCOF1"
"1110","CDC42"
"1111","OSBPL3"
"1112","EPHA8"
"1113","SLC12A3"
"1114","RAD18"
"1115","ATP2B1"
"1116","TRPM5"
"1117","NCK2"
"1118","MAP4K4"
"1119","MGAT4A"
"1120","RPL31"
"1121","WDR1"
"1122","SNX13"
"1123","MS4A12"
"1124","ARHGAP10"
"1125","RPS6KA2"
"1126","ING3"
"1127","VASH1"
"1128","LMCD1"
"1129","WBSCR22"
"1130","SEL1L"
"1131","TRIP13"
"1132","ATP6AP1"
"1133","TCF3"
"1134","TRIB2"
"1135","DAZAP1"
"1136","MBD3"
"1137","PRLH"
"1138","HLTF"
"1139","FAM50A"
"1140","FAM3A"
"1141","CPSF1"
"1142","MYO3B"
"1143","CYBRD1"
"1144","CDH19"
"1145","PDCD2"
"1146","SLC6A15"
"1147","RDH11"
"1148","PRKACA"
"1149","ADGRL1"
"1150","SPP2"
"1151","ACTN1"
"1152","ZFYVE26"
"1153","RPS6KA6"
"1154","EPN2"
"1155","PTPN18"
"1156","LIMS2"
"1157","ASIC4"
"1158","LOC100996693"
"1159","LNX1"
"1160","ALDH3A2"
"1161","TFRC"
"1162","SREBF1"
"1163","TRPC5"
"1164","AFF4"
"1165","UBE2D1"
"1166","MPP5"
"1167","RHOBTB1"
"1168","SMC1A"
"1169","HSD17B10"
"1170","MARK2"
"1171","HMMR"
"1172","CHFR"
"1173","TRHDE"
"1174","P4HA2"
"1175","FCGR2B"
"1176","NFATC3"
"1177","TRNT1"
"1178","ACADVL"
"1179","STK10"
"1180","FBXW11"
"1181","ACAP1"
"1182","CRMP1"
"1183","EVC"
"1184","DERL2"
"1185","SIDT1"
"1186","NDE1"
"1187","MRVI1"
"1188","TMEM38A"
"1189","AP1M1"
"1190","PVR"
"1191","XRCC1"
"1192","SCARB1"
"1193","CYP2W1"
"1194","MCM2"
"1195","MOV10L1"
"1196","PANX2"
"1197","SELO"
"1198","TP63"
"1199","ALPK1"
"1200","LLGL2"
"1201","PDE8A"
"1202","CLCN4"
"1203","NLE1"
"1204","SDHA"
"1205","FNDC8"
"1206","GSDMB"
"1207","KDM5A"
"1208","ADAM11"
"1209","PPP2R3A"
"1210","FERMT2"
"1211","ABCB11"
"1212","DHRS9"
"1213","CD5L"
"1214","PTGS2"
"1215","IGF2BP2"
"1216","MAP3K13"
"1217","ST6GAL1"
"1218","TBX21"
"1219","FRY"
"1220","PICALM"
"1221","NSF"
"1222","GLI2"
"1223","CLASP1"
"1224","MRPS34"
"1225","NOTCH3"
"1226","CLNS1A"
"1227","PPP2R2C"
"1228","TEAD2"
"1229","EED"
"1230","CDHR2"
"1231","SNCB"
"1232","TSG101"
"1233","NCBP3"
"1234","ATP2A3"
"1235","CA12"
"1236","MGLL"
"1237","NTN4"
"1238","BCS1L"
"1239","NUAK1"
"1240","DPP8"
"1241","SLC24A1"
"1242","ZNF532"
"1243","SCARF1"
"1244","LMAN1"
"1245","HACD3"
"1246","IPCEF1"
"1247","ZZEF1"
"1248","NOX3"
"1249","ENO1"
"1250","SLC12A1"
"1251","MYDGF"
"1252","ANO8"
"1253","TUBE1"
"1254","ARHGEF10L"
"1255","TXK"
"1256","WSCD2"
"1257","KCNQ2"
"1258","TACR2"
"1259","ACTR6"
"1260","TIPIN"
"1261","SRI"
"1262","EIF4G3"
"1263","NUP37"
"1264","SEMA3A"
"1265","GTSE1"
"1266","SEMA3C"
"1267","TTC38"
"1268","ACAT1"
"1269","GRAMD4"
"1270","CELSR1"
"1271","WNT8B"
"1272","ZNF638"
"1273","SLC25A40"
"1274","TIMM21"
"1275","ADD2"
"1276","FGF4"
"1277","RASAL2"
"1278","VPS9D1"
"1279","ZNF37A"
"1280","MARK3"
"1281","SLC25A3"
"1282","FNDC3B"
"1283","FOSL2"
"1284","CACNG5"
"1285","CACNG4"
"1286","FRYL"
"1287","TMEM131"
"1288","FSCN1"
"1289","ACTB"
"1290","MOCOS"
"1291","PLD1"
"1292","ATP12A"
"1293","WDR62"
"1294","DLG1"
"1295","RAB7A"
"1296","BCAP29"
"1297","SEC31B"
