MAARS_1_003_03	MAARS_1_008_03	MAARS_1_016_03	MAARS_1_017_03	MAARS_1_044_03	MAARS_1_045_03	MAARS_1_057_03	MAARS_1_075_03	MAARS_1_082_03	MAARS_1_083_03	MAARS_1_085_03	MAARS_1_088_03	MAARS_1_090_03	MAARS_1_093_03	MAARS_1_097_03	MAARS_1_098_03	MAARS_1_100_03	MAARS_1_101_03	MAARS_1_102_03	MAARS_1_103_03
PDK4	8.15719286537673	7.14203771917303	6.91305687170825	8.24854545083816	6.82579123298248	6.07237303228684	9.12812635588853	6.31146167007755	8.25580749328889	6.68408833966969	7.73250073899625	8.12150094203593	9.09168534012214	6.9076368304743	8.31606827891004	7.92193614669553	6.98036731776095	6.82019071750194	8.21400458336975	7.72566315208881
SLC22A16	3.49788515760651	2.98052757790091	3.021180586193	3.23460319073564	3.15990179337848	3.29811126412722	3.36763516141562	3.18181775666178	2.90411979311837	2.94217519995573	3.34081154089612	3.06168488325613	3.24963168791702	3.37844380236362	2.83096198571703	3.16757162628388	2.8024069120759	3.37621809481463	3.0630368715136	3.09773072293208
ZMYND10	3.03930156773067	3.13109675933222	3.15270153758336	3.08998906072501	3.00220021086331	3.12914279894872	3.11028745749823	3.0709256883999	2.99916718693601	3.24252272755803	3.15926830499455	3.22674687528317	2.99623202708673	3.28373865263789	3.21288197139615	3.33024124804906	2.95964703928729	3.28284950096365	3.17322521224884	3.01738540461051
ABCB5	3.22861583749985	2.84263073585	2.90289756692257	3.15019685705851	3.30007999734628	2.99737868151377	3.05888395448748	2.924879228834	3.27690101188959	2.93773656564515	3.65231966224701	2.91906549493311	2.82429529231933	2.96965510210001	3.06019244420892	3.03347133940842	3.38575372136462	2.89886276323677	3.07279912682237	3.10723493440551
ARX	4.88114410262915	5.12830777864785	4.70289980091105	5.3849515695842	4.86129322096261	5.08266364125224	4.93039880788646	5.29586150538722	5.06870458453327	5.4413916178544	5.21943095439017	4.97092832819439	5.31248635727543	5.15198327992628	4.97801954819517	5.1331399271403	5.35537539488332	5.42523251569656	4.82255667850132	5.2695631446759
SLC25A13	7.90887464161339	7.76842359776613	7.99877447882693	8.19413723509123	7.68730170751686	8.28115773247504	8.06377846026029	8.08830145743821	7.71043835992602	7.822434128497	7.87619778689915	7.88018244996934	7.97586464484843	7.48897304301978	7.69236410323561	7.53131879422904	8.04279041443325	7.86583810951965	7.97603343811563	7.7329132664838
ST7-OT3	5.97447152691695	6.09419565601205	5.92110132463925	6.19273438998984	5.89343225181727	6.03841497495502	5.97809048613186	5.96838873601733	6.0675759660602	6.03762053213214	5.84523407982191	5.95976722316709	6.01977302593016	6.20048706755132	5.99380626330943	5.81736624769709	6.02344520464634	5.99738215788689	6.18533581650346	5.64860952323885
CDC27	8.22578771176511	8.07359619923896	8.28139709020522	8.14178448335103	7.98002047563533	8.06411653788888	7.84360887881748	7.99308319620806	8.03250106425017	7.97439796056927	8.15109536752822	7.97426955501508	8.14788430673861	8.12214910446229	8.02586655697403	8.22390449874276	8.13675254870679	7.87089345062665	8.23918654539468	8.24749777792149
SLC4A1	2.46749502646273	2.52461264473869	2.40452913169012	2.48098731210028	2.50008365623737	2.73170275346933	2.85143416353555	3.00507697919613	2.70502000130366	2.58191539265911	2.80276964266059	2.78779071260391	2.52708510765025	2.80979455793576	2.62284174921858	2.7376517937496	2.72409179499883	2.85474901851583	2.73288675891156	2.75096257410786
CALCR	2.46911979482021	2.44595066722218	2.60028257072174	2.47514314066505	2.68923820724055	2.75378314808806	2.49756125173715	2.55512340177424	2.5610604566119	2.46908849229179	2.77281239485111	2.51140991888706	2.45000521354687	2.54862203452566	2.35977661155253	2.46355026194649	2.37951417431776	2.47175990516041	2.26844471145395	2.52680166597467
HCCS	7.13912594477048	7.30246872233576	7.2597284515535	7.48032958524294	7.29264120981325	7.4507354881476	7.35273558817369	7.52080488888182	7.49109025007535	7.35734362553147	7.23890895623685	7.22350880117327	7.322649289974	7.23193160648115	7.03467056548197	7.29941282167604	7.32371496742069	7.19828567998315	7.15637936127566	7.20549359951859
DVL2	6.42009527322589	6.80861526036396	6.29821254327246	6.40232897695492	6.6388633187267	6.65588464636656	6.63514537416633	6.68390063349125	6.28816857597495	6.84689992418517	6.52896331668449	6.5841011299351	6.22282758801837	6.59776257536073	6.76002163635195	6.39957428229934	6.45129463412556	6.63849358012629	6.53549532462729	6.58718721838232
