MAARS_1_002_03	MAARS_1_004_03	MAARS_1_005_03	MAARS_1_006_03	MAARS_1_007_03	MAARS_1_009_03	MAARS_1_010_03	MAARS_1_015_03	MAARS_1_019_03	MAARS_1_020_03	MAARS_1_021_03	MAARS_1_024_03	MAARS_1_030_03	MAARS_1_032_03	MAARS_1_049_03	MAARS_1_054_03	MAARS_1_058_03	MAARS_1_061_03	MAARS_1_062_03	MAARS_1_066_03
HSPB6	7.16940561701182	6.97770117848043	7.2157621192259	7.08592765443688	7.04224706059997	7.19364038604068	6.99267038131756	6.57619575331547	5.99391551447173	5.66026528021435	7.34648751404413	6.178660452613	7.65465721872095	6.80658298012939	6.34852435538825	6.07281030011905	6.35094539579305	7.23834523171374	6.77246768060505	6.0598639073522
ARHGAP33	4.67523477901245	5.04624020540681	4.76449823058783	5.28800898376764	4.99754898520578	5.08596883453482	4.80127658013714	5.00143982528518	4.62015907853264	4.73710097388259	4.74701192266633	5.31028641853092	4.6167752922881	4.80242734136559	5.02014851955121	5.12287113524775	5.34465663826602	4.69837364213131	4.9438421066795	5.02994337987254
NDUFAB1	6.39532984817679	6.74526634543598	6.52102252389945	6.74308556657983	6.54714783027252	6.66455642709741	6.66296072264123	6.82028701404822	6.67117910403738	6.50317623505526	6.69552281067166	6.44439111413297	6.55676876450422	6.54419731399735	6.74269200538564	6.8671368480796	6.29559622294918	6.62896975310008	6.75474236474284	6.5610515931359
PDK4	7.36920938646114	7.40427759496225	7.08630251775988	7.32741149052299	7.80295952012059	6.73684925920073	7.63894879014556	6.64173813155273	6.16599798542391	7.21553981477097	8.64334824053299	8.53960512621197	6.61676117968857	7.40712540539621	5.20205724958777	8.39708896137202	6.53077103060328	7.65790519280098	5.77935438682644	6.75949383104553
SLC22A16	3.22186929039531	3.13620038406406	3.02795456483183	3.37245285905855	2.93077169232258	3.06637857408941	3.33435058170985	3.1286758595938	3.17258107226325	3.19087954653509	3.20852958836777	3.22955366089926	3.19171019997223	3.28820105410003	3.20351385265413	3.02214862486742	3.15545255661741	3.04147882453957	2.95755123173136	3.01697232979649
ZMYND10	3.16103826604457	3.17683378849549	3.2576482768825	3.00432362949823	3.23989380892096	2.97440679438011	3.29329961969352	3.00105956430509	3.09820625519078	3.13450982447614	3.23118865267354	3.14922737577479	3.27883763646341	3.16252515451546	3.3881792271024	2.93562894457847	3.23602528654803	3.18165134995594	3.33112098407056	3.38636050777889
ABCB5	3.00741203803968	2.96105946015697	3.11638357999623	3.39064443092391	3.3760514048711	3.33080973437008	3.26557518153972	3.39717073583279	3.17566872463361	3.18679841836436	3.52295808115959	3.01690901108072	3.52341893758519	3.3126394034478	3.19233539003887	3.07909508988853	2.96230462229787	3.20895911252992	3.13198549735007	3.05667282101944
ARX	5.33670154516042	5.50026630749231	5.07265541068865	4.89163106596192	5.1171137399708	5.2265997277278	5.43792808300663	5.24388865769672	5.42592029536152	5.05201202943319	5.1010016178628	5.43953799405609	5.09700924721398	5.51264976192575	5.27875095200057	5.34273669530307	4.99256395640831	5.53529894766548	5.1620986401514	5.15448304697097
SLC25A13	8.0962520088287	8.15935079917845	8.00805631213155	8.1935845276713	8.30988633237833	8.05898451578294	8.11469736713944	8.10220347148253	8.28437864447299	8.02046890902583	8.06526787836531	7.84321366235983	7.96904552148135	8.17912560612839	8.02188428841607	8.60325632476541	8.10034686261474	8.14020864245663	8.29634865353844	8.12490277615048
ST7-OT3	5.81184344371668	5.82176579769927	5.79077211257768	5.98469232278248	6.13532655659137	5.64959127165133	6.02619274300816	5.77951547680422	5.95404703083653	6.00408178744361	5.87463255915331	6.28703285915293	5.95293784179796	6.19327799259079	5.82535921494541	6.14952987188388	5.98879940152364	5.95930696191171	5.90470558241448	5.86618811624926
CDC27	8.09794004066674	8.01118815681211	7.89666321357254	8.03357144955715	7.85788494617594	7.99729138292752	7.92169867132642	7.96001229832935	8.05229611763315	8.01864028757323	7.92904774758156	7.97052131807778	8.16249308200327	7.9717334215108	7.8932285749442	8.07106932564075	7.98992489075836	8.00806397993988	8.33384761062233	8.03344112583555
SLC4A1	2.70761726240449	2.45565572261949	2.84669090117421	2.50108767606163	2.7395071329108	2.5033554722634	2.86042107523435	2.76559454382106	2.85342075709957	2.69725884057077	2.70257160863904	2.79494279556663	2.58906489542717	2.64374558829162	2.5168531852666	2.76456286129058	2.49908787941468	2.40346747777809	2.49059676894373	2.42905066909455
CALCR	2.4174877883704	2.71555398471751	2.90611427896825	2.46735758502595	2.59278231668571	2.37809509044568	2.55915533612301	2.35833738966667	2.4255015781559	2.417069029785	2.8482850712467	2.56886220257593	2.68201611056667	2.67414582851727	2.49354626783461	2.3215912102454	2.22521602612617	2.75573714740367	2.44050763780503	2.58568168533171
HCCS	7.54871015774047	7.50184634075932	7.5732993473704	7.53807876514689	7.35669414414352	7.19133614102549	7.07643720263586	7.48796929524609	7.51946575372395	7.58703482952562	7.52367795254609	7.11150785554601	7.6428474002919	7.54716259188239	7.51926931208165	7.25330889005475	7.2053764892608	7.31140124532846	7.40957498619253	7.48774397099338
DVL2	6.51534979738194	6.34942330838066	6.47716676691737	6.36390201697964	6.6175500009654	6.58540578898828	6.37299598474143	6.19694469623558	6.22877481251583	6.34628582156993	6.33123412733593	6.46629797017479	6.45489773406395	6.26891858912079	6.32708152594822	6.58642748624867	6.31196310283256	6.53811532232851	6.50318668385779	6.47862048222368
PRSS22	8.29242538440301	8.03400320466545	7.54085275766554	7.83978913464197	6.47529603338812	7.81943804232019	6.26723529810771	7.53812098503267	7.72636817897185	6.9018887888745	7.79471772516107	7.50403077793279	6.30113249876254	7.9176618933054	7.3528059518061	7.2583108296272	6.53260558538391	6.42549062742051	7.54498397286917	7.75090152274669
UPF1	8.53807894921447	8.34280417899147	8.68727404979058	8.50443917881601	8.49159372504255	8.52685520079658	8.48230128671456	8.60803998149501	8.56737884736845	8.40080805900367	8.44736550786084	8.45439573156361	8.67793155250712	8.25567800550241	8.78773372540018	8.1917369757168	8.57602547375517	8.23620291662462	8.78751111441818	8.37929992688812
SKAP2	6.01203547559454	6.26791799513111	6.2324401104881	6.2742433995986	6.27935347157988	6.2847340631389	6.56746686802712	6.21076477517492	6.33701823335919	6.43030327214477	6.51524544907437	6.18485891644781	6.20892362844272	6.22836469119571	6.29775705969152	6.22230548279175	6.52442024403522	6.36082161153285	6.39766777064501	6.51821288014786
SLC25A5	5.06693557196873	5.29523312967157	5.52167151667491	5.68732711240495	5.19430626011317	5.07426923786441	5.24133541181279	5.35224700967543	5.4416669607144	4.76514876767964	5.21943665975913	4.93851022581163	4.82856149105292	5.35094756734145	5.09165115952397	5.75464432047847	5.16677893214731	5.49241390729089	5.1689972830945	5.35023610465183
MCUB	7.28467492119384	7.40950875046448	7.193191904113	7.06134350286507	7.2946988740768	7.27317617900863	6.94965861240423	7.20993667949771	7.40472372105723	7.20324266491467	7.47071090344902	7.09360535464871	7.31420369420698	7.25292880883091	7.08701227591067	7.5658986081198	7.08268664394529	6.88942172773175	7.21145758471245	7.13078443412082
HOXA11	3.51967300461678	3.60834396105792	3.65067387622554	3.45805012662081	3.51918766848496	3.34540031566126	3.53230491094761	3.49825024670909	3.39254711997247	3.51881483331587	3.64594740245748	3.85850101651774	4.06004531031778	3.47875904448901	4.00269694890479	3.22343214200079	3.30006072557801	3.75522416772703	3.12865846939221	3.52897790237621
POLR2J	5.3729991316924	4.66747083654409	5.28370219534929	5.12239956868591	4.90875657705289	4.94770534324584	5.04042104914364	5.63058256174674	5.35469867626014	5.18599257731761	5.47472601649661	5.77680722763241	5.93306732040012	5.03018352833532	5.4464302060478	5.89080732883545	5.20982346044946	5.01532600703432	5.69754247831119	4.76897900202476
DHX33	7.1933423509872	7.3240834244688	7.13555573258789	7.13124442566436	7.23240004400198	7.29969347284726	6.9727071816559	6.89920580827339	7.23259824514056	6.98071484041851	7.28076737842403	6.9627439849147	7.13725995688212	7.5301850837172	7.34147356919441	7.23042689310818	6.72061762705119	7.19097890656361	7.42926195520292	7.19654922063289
